Company,"CIK Code",Ticker,Market,"S&P Index","Russell Index","Bus Street 1","Bus Street 2",City,County,"State Code","State Name","State Region",Zip,"Bus Phone","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act","Audit Opinion Key",Auditor,"Auditor Key","Auditor PCAOB Registration Number","Auditor Affiliate","Auditor Affiliate Key","Auditor Affiliate PCAOB Registration Number","Auditor City","Auditor State Code","Auditor State Name","Auditor State Region","Year Ended Date","Year Ended (Ideal)","Month Ended (Ideal)","Signature Date",Source,"Source Date","Going Concern","Going Concern Issue Key List","Going Concern Issue Phrase List","Total CAMS in Opinion","Accounting Basis","Is Integrated Audit","Is Additional Opinion","Additional Signature Date 1","Additional Signature Date 2","Additional Signature Date 3","Additional Signature Date 4","Additional Signature Date 5","Auditor Since Year","Auditor Since Code","Predecessor Auditor Since Year","Predecessor Auditor Since Code","Filer Status","Fees Fiscal Year Ended","Audit Fees ($)","Non-Audit Fees ($)","Total Fees ($)","Stock Price ($)","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)",,,,,
"ICICI BANK LTD",1103838,IBN,NYSE,,,"ICICI BANK TOWERS","BANDRA-KURLA COMPLEX",MUMBAI,,K7,INDIA,Foreign,400051,91-22-2653-8900,,,6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,569166,"KPMG LLP",4,0185,"KPMG Assurance and Consulting Services LLP (2115)",827,2115,Mumbai,K7,INDIA,Foreign,2025-03-31,2025,03,2025-07-25,20-F,2025-07-25,No,,,2,"GAAP - India",Yes,Yes,,,,,,1999,Since,,,"Large Accelerated Filer",2025,"2,915,000","106,000","3,021,000",31.44,2025-04-02,"110,391,115,776",2025-03-31,"21,318,984,000","5,970,247,000","35,736,228,000","309,133,512,000",,,,,,
"ICICI BANK LTD",1103838,IBN,NYSE,,,"ICICI BANK TOWERS","BANDRA-KURLA COMPLEX",MUMBAI,,K7,INDIA,Foreign,400051,91-22-2653-8900,,,6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,562295,"KPMG LLP",4,0185,"BSR & Co LLP",399,1209,Mumbai,K7,INDIA,Foreign,2025-03-31,2025,03,2025-04-19,6-K,2025-04-22,No,,,,"GAAP - India",No,No,,,,,,,,,,"Large Accelerated Filer",2025,"2,915,000","106,000","3,021,000",31.44,2025-04-02,"110,391,115,776",2025-03-31,"21,318,984,000","5,970,247,000","35,736,228,000","309,133,512,000",,,,,,
"ICICI BANK LTD",1103838,IBN,NYSE,,,"ICICI BANK TOWERS","BANDRA-KURLA COMPLEX",MUMBAI,,K7,INDIA,Foreign,400051,91-22-2653-8900,,,6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,562297,"KPMG LLP",4,0185,"BSR & Co LLP",399,1209,Mumbai,K7,INDIA,Foreign,2025-03-31,2025,03,2025-04-19,6-K,2025-04-22,No,,,,"GAAP - India",No,Yes,,,,,,,,,,"Large Accelerated Filer",2025,"2,915,000","106,000","3,021,000",31.44,2025-04-02,"110,391,115,776",2025-03-31,"21,318,984,000","5,970,247,000","35,736,228,000","309,133,512,000",,,,,,
"Medtronic plc",1613103,MDT,NYSE,"S&P 500","Russell 1000","BUILDING TWO PARKMORE BUSINESS PARK WEST",,GALWAY,,L2,IRELAND,Foreign,"H91 4K49","=""01135314381700""",,,3845,"Electromedical and Electrotherapeutic Apparatus",334510,"Electromedical and Electrotherapeutic Apparatus Manufacturing",34,567165,"PricewaterhouseCoopers LLP",1,0238,,,,Minneapolis,MN,MINNESOTA,"US Midwest",2025-04-25,2025,04,2025-06-20,10-K,2025-06-20,No,,,1,"GAAP - US",Yes,No,,,,,,1963,Since,,,"Large Accelerated Filer",2025,"15,381,000","5,017,000","20,398,000",83.75,2025-04-23,"107,413,020,672",2025-04-25,"33,537,000,000","4,664,000,000","-5,381,000,000","91,679,000,000",,,,,,
"SUMITOMO MITSUI FINANCIAL GROUP, INC.",1022837,SMFG,NYSE,,,"1-2, MARUNOUCHI 1-CHOME",CHIYODA-KU,TOKYO,,M0,JAPAN,Foreign,100-0005,81-3-3282-8111,,,6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,567565,"KPMG LLP",4,0185,"KPMG AZSA LLC",333,1009,Tokyo,M0,JAPAN,Foreign,2025-03-31,2025,03,2025-06-26,20-F,2025-06-27,No,,,1,"IFRS - IASB",Yes,Yes,,,,,,1976,Since,,,"Large Accelerated Filer",2025,"48,384,553","3,235,301","51,619,854",15.46,2025-03-31,"99,814,752,256",2025-03-31,"25,679,000,000","3,454,000,000","101,962,000,000","1,953,759,000,000",,,,,,
"SUMITOMO MITSUI FINANCIAL GROUP, INC.",1022837,SMFG,NYSE,,,"1-2, MARUNOUCHI 1-CHOME",CHIYODA-KU,TOKYO,,M0,JAPAN,Foreign,100-0005,81-3-3282-8111,,,6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,567542,"KPMG LLP",4,0185,"KPMG AZSA LLC",333,1009,Tokyo,M0,JAPAN,Foreign,2025-03-31,2025,03,2025-06-19,6-K,2025-06-26,No,,,,"GAAP - Japan",No,No,,,,,,,,,,"Large Accelerated Filer",2025,"48,384,553","3,235,301","51,619,854",15.46,2025-03-31,"99,814,752,256",2025-03-31,"25,679,000,000","3,454,000,000","101,962,000,000","1,953,759,000,000",,,,,,
"Marvell Technology, Inc.",1835632,MRVL,"NASDAQ Global Select Market",,"Russell 1000","1000 N. WEST STREET","SUITE 1200",WILMINGTON,"New Castle",DE,DELAWARE,"US Mid Atlantic",19801,"(302) 295-4840",,,3674,"Semiconductors and Related Devices",334413,"Semiconductor and Related Device Manufacturing",34,557178,"Deloitte & Touche LLP",3,0034,,,,"San Jose",CA,CALIFORNIA,"US West",2025-02-01,2025,1,2025-03-12,10-K,2025-03-12,No,,,1,"GAAP - US",Yes,No,,,,,,2016,Since,,,"Large Accelerated Filer",2025,"5,925,868","1,660,914","7,586,782",113.56,2025-02-03,"98,263,465,984",2025-02-01,"5,767,300,000","-885,000,000","-870,500,000","20,204,500,000",,,,,,
"STARBUCKS CORP",829224,SBUX,"NASDAQ Global Select Market","S&P 500","Russell 1000","P O BOX 34067",,SEATTLE,King,WA,WASHINGTON,"US West",98124-1067,"(206) 447-1575",,,5810,"Retail-Eating & Drinking Places",722213,"Snack and Nonalcoholic Beverage Bars",34,575633,"Deloitte & Touche LLP",3,0034,,,,Seattle,WA,WASHINGTON,"US West",2025-09-28,2025,09,2025-11-14,10-K,2025-11-14,No,,,1,"GAAP - US",Yes,No,,,,,,1987,Since,,,"Large Accelerated Filer",,,,,84.6,2025-09-30,"96,164,823,040",2025-09-28,"37,184,400,000","1,856,400,000","-11,632,300,000","32,019,700,000",,,,,,
"CrowdStrike Holdings, Inc.",1535527,CRWD,"NASDAQ Global Select Market","S&P 500","Russell 1000","206 E. 9TH STREET","SUITE 1400",AUSTIN,Travis,TX,TEXAS,"US Southwest",78701,"(888) 512-8906",,,7372,"Prepackaged Software",511210,"Software Publishers",34,556802,"PricewaterhouseCoopers LLP",1,0238,,,,"San Jose",CA,CALIFORNIA,"US West",2025-01-31,2025,01,2025-03-10,10-K,2025-03-10,No,,,1,"GAAP - US",Yes,No,,,,,,,,,,"Large Accelerated Filer",2025,"5,643,000","606,000","6,249,000",397.07,2025-01-29,"92,855,304,192",2025-01-31,"3,953,624,000","-19,271,000","2,233,575,000","8,701,578,000",,,,,,
"CINTAS CORP",723254,CTAS,"NASDAQ Global Select Market","S&P 500","Russell 1000","6800 CINTAS BLVD","P O BOX 625737",CINCINNATI,Hamilton,OH,OHIO,"US Midwest",45262,"(513) 459-1200",,,2320,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",812332,"Industrial Launderers",34,569239,"Ernst & Young LLP",2,0042,,,,Cincinnati,OH,OHIO,"US Midwest",2025-05-31,2025,05,2025-07-28,10-K,2025-07-28,No,,,1,"GAAP - US",Yes,No,,,,,,1968,Since,,,"Large Accelerated Filer",2025,"1,916,535","412,898","2,329,433",226.5,2025-05-31,"91,267,719,168",2025-05-31,"10,340,181,000","1,812,281,000","974,426,000","9,825,241,000",,,,,,
"Parker-Hannifin Corp",76334,PH,NYSE,"S&P 500","Russell 1000","6035 PARKLAND BOULEVARD",,CLEVELAND,Cuyahoga,OH,OHIO,"US Midwest",44124-4141,"(216) 896-3000",,,3490,"Miscellaneous Fabricated Metal Products",339991,"Gasket, Packing, and Sealing Device Manufacturing",34,570711,"Deloitte & Touche LLP",3,0034,,,,Cleveland,OH,OHIO,"US Midwest",2025-06-30,2025,06,2025-08-22,10-K,2025-08-22,No,,,1,"GAAP - US",Yes,No,,,,,,2008,Since,,,"Large Accelerated Filer",2025,"13,341,000","1,888,484","15,229,484",711.46,2025-07-02,"90,908,942,336",2025-06-30,"19,850,000,000","3,531,000,000","-4,386,000,000","29,494,000,000",,,,,,
"MCKESSON CORP",927653,MCK,NYSE,"S&P 500","Russell 1000","6555 STATE HIGHWAY 161",,IRVING,Dallas,TX,TEXAS,"US Southwest",75039,"(972) 446-4800",,,5122,"Drugs, Drug Proprietaries, and Druggists` Sundries",424210,"Drugs and Druggists' Sundries Merchant Wholesalers",34,564633,"Deloitte & Touche LLP",3,0034,,,,Dallas,TX,TEXAS,"US Southwest",2025-03-31,2025,03,2025-05-08,10-K,2025-05-09,No,,,1,"GAAP - US",Yes,No,,,,,,1968,Since,,,"Large Accelerated Filer",2025,"15,623,000","5,982,122","21,605,122",693.53,2025-04-02,"86,917,603,328",2025-03-31,"359,051,000,000","3,295,000,000","-13,560,000,000","75,140,000,000",,,,,,
"Infosys Ltd",1067491,INFY,NYSE,,,"ELECTRONICS CITY, HOSUR ROAD",*,BANGALORE,,K7,INDIA,Foreign,"560 100",+91-80-2852-0261,,,7371,"Computer Programming Services",541511,"Custom Computer Programming Services",34,562287,"Deloitte & Touche LLP",3,0034,"Deloitte Haskins & Sells LLP",16,1180,Bengaluru,K7,INDIA,Foreign,2025-03-31,2025,03,2025-04-17,6-K,2025-04-22,No,,,,"GAAP - India",No,No,,,,,,,,,,"Large Accelerated Filer",2025,"2,700,000","1,100,000","3,800,000",18.39,2025-04-02,"76,334,448,640",2025-03-31,"19,277,000,000","3,162,000,000","9,700,000,000","17,419,000,000",,,,,,
"Infosys Ltd",1067491,INFY,NYSE,,,"ELECTRONICS CITY, HOSUR ROAD",*,BANGALORE,,K7,INDIA,Foreign,"560 100",+91-80-2852-0261,,,7371,"Computer Programming Services",541511,"Custom Computer Programming Services",34,562288,"Deloitte & Touche LLP",3,0034,"Deloitte Haskins & Sells LLP",16,1180,Bengaluru,K7,INDIA,Foreign,2025-03-31,2025,03,2025-04-17,6-K,2025-04-22,No,,,,"GAAP - India",No,Yes,,,,,,,,,,"Large Accelerated Filer",2025,"2,700,000","1,100,000","3,800,000",18.39,2025-04-02,"76,334,448,640",2025-03-31,"19,277,000,000","3,162,000,000","9,700,000,000","17,419,000,000",,,,,,
"Infosys Ltd",1067491,INFY,NYSE,,,"ELECTRONICS CITY, HOSUR ROAD",*,BANGALORE,,K7,INDIA,Foreign,"560 100",+91-80-2852-0261,,,7371,"Computer Programming Services",541511,"Custom Computer Programming Services",34,562289,"Deloitte & Touche LLP",3,0034,"Deloitte Haskins & Sells LLP",16,1180,Bengaluru,K7,INDIA,Foreign,2025-03-31,2025,03,2025-04-17,6-K,2025-04-22,No,,,,"IFRS - IASB",No,Yes,,,,,,,,,,"Large Accelerated Filer",2025,"2,700,000","1,100,000","3,800,000",18.39,2025-04-02,"76,334,448,640",2025-03-31,"19,277,000,000","3,162,000,000","9,700,000,000","17,419,000,000",,,,,,
"Infosys Ltd",1067491,INFY,NYSE,,,"ELECTRONICS CITY, HOSUR ROAD",*,BANGALORE,,K7,INDIA,Foreign,"560 100",+91-80-2852-0261,,,7371,"Computer Programming Services",541511,"Custom Computer Programming Services",34,562290,"Deloitte & Touche LLP",3,0034,"Deloitte Haskins & Sells LLP",16,1180,Bengaluru,K7,INDIA,Foreign,2025-03-31,2025,03,2025-04-17,6-K,2025-04-22,No,,,,"IFRS - IASB",No,Yes,,,,,,,,,,"Large Accelerated Filer",2025,"2,700,000","1,100,000","3,800,000",18.39,2025-04-02,"76,334,448,640",2025-03-31,"19,277,000,000","3,162,000,000","9,700,000,000","17,419,000,000",,,,,,
"Infosys Ltd",1067491,INFY,NYSE,,,"ELECTRONICS CITY, HOSUR ROAD",*,BANGALORE,,K7,INDIA,Foreign,"560 100",+91-80-2852-0261,,,7371,"Computer Programming Services",541511,"Custom Computer Programming Services",34,562291,"Deloitte & Touche LLP",3,0034,"Deloitte Haskins & Sells LLP",16,1180,Bengaluru,K7,INDIA,Foreign,2025-03-31,2025,03,2025-04-17,6-K,2025-04-22,No,,,,"GAAP - India",No,Yes,,,,,,,,,,"Large Accelerated Filer",2025,"2,700,000","1,100,000","3,800,000",18.39,2025-04-02,"76,334,448,640",2025-03-31,"19,277,000,000","3,162,000,000","9,700,000,000","17,419,000,000",,,,,,
"Infosys Ltd",1067491,INFY,NYSE,,,"ELECTRONICS CITY, HOSUR ROAD",*,BANGALORE,,K7,INDIA,Foreign,"560 100",+91-80-2852-0261,,,7371,"Computer Programming Services",541511,"Custom Computer Programming Services",34,562292,"Deloitte & Touche LLP",3,0034,"Deloitte Haskins & Sells LLP",16,1180,Bengaluru,K7,INDIA,Foreign,2025-03-31,2025,03,2025-04-17,6-K,2025-04-22,No,,,,"GAAP - India",No,Yes,,,,,,,,,,"Large Accelerated Filer",2025,"2,700,000","1,100,000","3,800,000",18.39,2025-04-02,"76,334,448,640",2025-03-31,"19,277,000,000","3,162,000,000","9,700,000,000","17,419,000,000",,,,,,
"Infosys Ltd",1067491,INFY,NYSE,,,"ELECTRONICS CITY, HOSUR ROAD",*,BANGALORE,,K7,INDIA,Foreign,"560 100",+91-80-2852-0261,,,7371,"Computer Programming Services",541511,"Custom Computer Programming Services",34,562293,"Deloitte & Touche LLP",3,0034,"Deloitte Haskins & Sells LLP",16,1180,Bengaluru,K7,INDIA,Foreign,2025-03-31,2025,03,2025-04-17,6-K,2025-04-22,No,,,,"GAAP - India",No,Yes,,,,,,,,,,"Large Accelerated Filer",2025,"2,700,000","1,100,000","3,800,000",18.39,2025-04-02,"76,334,448,640",2025-03-31,"19,277,000,000","3,162,000,000","9,700,000,000","17,419,000,000",,,,,,
"Infosys Ltd",1067491,INFY,NYSE,,,"ELECTRONICS CITY, HOSUR ROAD",*,BANGALORE,,K7,INDIA,Foreign,"560 100",+91-80-2852-0261,,,7371,"Computer Programming Services",541511,"Custom Computer Programming Services",34,562294,"Deloitte & Touche LLP",3,0034,"Deloitte Haskins & Sells LLP",16,1180,Bengaluru,K7,INDIA,Foreign,2025-03-31,2025,03,2025-04-17,6-K,2025-04-22,No,,,,"GAAP - India",No,Yes,,,,,,,,,,"Large Accelerated Filer",2025,"2,700,000","1,100,000","3,800,000",18.39,2025-04-02,"76,334,448,640",2025-03-31,"19,277,000,000","3,162,000,000","9,700,000,000","17,419,000,000",,,,,,
"Infosys Ltd",1067491,INFY,NYSE,,,"ELECTRONICS CITY, HOSUR ROAD",*,BANGALORE,,K7,INDIA,Foreign,"560 100",+91-80-2852-0261,,,7371,"Computer Programming Services",541511,"Custom Computer Programming Services",34,567774,"Deloitte & Touche LLP",3,0034,"Deloitte Haskins & Sells LLP",16,1180,Bengaluru,K7,INDIA,Foreign,2025-03-31,2025,03,2025-07-01,20-F,2025-07-01,No,,,2,"IFRS - IASB",Yes,Yes,,,,,,2018,Since,,,"Large Accelerated Filer",2025,"2,700,000","1,100,000","3,800,000",18.39,2025-04-02,"76,334,448,640",2025-03-31,"19,277,000,000","3,162,000,000","9,700,000,000","17,419,000,000",,,,,,
"New Oriental Education & Technology Group Inc.",1372920,EDU,NYSE,,,"NO. 6 HAI DIAN ZHONG STREET, 9TH FLOOR",,BEIJING,,F4,CHINA,Foreign,,"(86-10) 6260-5566",,,8200,"Services-Educational Services",611710,"Educational Support Services",34,572898,"Deloitte & Touche LLP",3,0034,"Deloitte Touche Tohmatsu Certified Public Accountants LLP",499,1113,Beijing,F4,CHINA,Foreign,2025-05-31,2025,05,2025-09-25,20-F,2025-09-25,No,,,1,"GAAP - US",Yes,No,,,,,,2006,Since,,,"Large Accelerated Filer",2025,"2,131,000","947,000","3,078,000",45.64,2025-06-02,"75,192,582,144",2025-05-31,"4,900,262,000","371,716,000","3,550,121,000","7,805,499,000",,,,,,
"EMERSON ELECTRIC CO",32604,EMR,NYSE,"S&P 500","Russell 1000","8027 FORSYTH BLVD",,"ST LOUIS","Saint Louis",MO,MISSOURI,"US Southeast",63105,"(314) 553-2000",,,3600,"Electronic & Other Electrical Equipment (No Computer Equip)",335999,"All Other Miscellaneous Electrical Equipment and Component Manufacturing",34,575311,"KPMG LLP",4,0185,,,,"Saint Louis",MO,MISSOURI,"US Southeast",2025-09-30,2025,09,2025-11-10,10-K,2025-11-10,No,,,1,"GAAP - US",Yes,No,,,,,,1938,Since,1938,Since,"Large Accelerated Filer",,,,,133.05,2025-10-02,"74,880,540,672",2025-09-30,"18,016,000,000","2,293,000,000","-7,369,000,000","41,964,000,000",,,,,,
"TransDigm Group INC",1260221,TDG,NYSE,"S&P 500","Russell 1000","1350 EUCLID AVENUE","SUITE 1600",CLEVELAND,Cuyahoga,OH,OHIO,"US Midwest",44115,"(216) 706-2960",,,3728,"Aircraft Parts and Auxiliary Equipment, NEC",336413,"Other Aircraft Parts and Auxiliary Equipment Manufacturing",34,575389,"Ernst & Young LLP",2,0042,,,,Cleveland,OH,OHIO,"US Midwest",2025-09-30,2025,09,2025-11-12,10-K,2025-11-12,No,,,1,"GAAP - US",Yes,No,,,,,,2004,Since,,,"Large Accelerated Filer",,,,,1318.02,2025-09-30,"74,304,225,280",2025-09-30,"8,831,000,000","2,074,000,000","-23,752,000,000","22,909,000,000",,,,,,
"WESTPAC BANKING CORP",719245,WBKCY,"Pink Limited",,,"LEVEL 3, 275 KENT STREET",,SYDNEY,,C3,AUSTRALIA,Foreign,2000,"=""01161478163167""",,,6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,574928,"KPMG LLP",4,0185,KPMG,59,1020,Sydney,C3,AUSTRALIA,Foreign,2025-09-30,2025,09,2025-11-02,6-K,2025-11-03,No,,,,"IFRS - Australia",Yes,No,,,,,,,,,,"Large Accelerated Filer",2025,"15,403,223","1,426,807","16,830,031",21.3,2025-07-28,"73,302,061,989",2025-09-30,"14,835,000,000","4,584,000,000","41,290,000,000","745,832,000,000",,,,,,
"WESTPAC BANKING CORP",719245,WBKCY,"Pink Limited",,,"LEVEL 3, 275 KENT STREET",,SYDNEY,,C3,AUSTRALIA,Foreign,2000,"=""01161478163167""",,,6029,"Commercial Banks, NEC",522110,"Commercial Banking",34,574948,"KPMG LLP",4,0185,KPMG,59,1020,Sydney,C3,AUSTRALIA,Foreign,2025-09-30,2025,09,2025-11-02,20-F,2025-11-04,No,,,1,"IFRS - IASB",Yes,Yes,,,,,,2025,Since,,,"Large Accelerated Filer",2025,"15,403,223","1,426,807","16,830,031",21.3,2025-07-28,"73,302,061,989",2025-09-30,"14,835,000,000","4,584,000,000","41,290,000,000","745,832,000,000",,,,,,
"NIKE, Inc.",320187,NKE,NYSE,"S&P 500","Russell 1000","ONE BOWERMAN DR",,BEAVERTON,Washington,OR,OREGON,"US West",97005-6453,"(503) 671-3173",,,3021,"Rubber and Plastics Footwear",316211,"Rubber and Plastics Footwear Manufacturing",34,568600,"PricewaterhouseCoopers LLP",1,0238,,,,Portland,OR,OREGON,"US West",2025-05-31,2025,05,2025-07-17,10-K,2025-07-17,No,,,1,"GAAP - US",Yes,No,,,,,,1974,Since,,,"Large Accelerated Filer",2025,"21,400,000","800,000","22,200,000",61.57,2025-06-02,"72,535,785,472",2025-05-31,"46,309,000,000","3,219,000,000","12,714,000,000","36,579,000,000",,,,,,
"Johnson Controls International plc",833444,JCI,NYSE,"S&P 500","Russell 1000","ONE ALBERT QUAY","ALBERT QUAY",CORK,,L2,IRELAND,Foreign,00000,"(414) 524-1200",,,3585,"Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment",561621,"Security Systems Services (except Locksmiths)",34,575634,"PricewaterhouseCoopers LLP",1,0238,,,,Milwaukee,WI,WISCONSIN,"US Midwest",2025-09-30,2025,09,2025-11-14,10-K,2025-11-14,No,,,1,"GAAP - US",Yes,No,,,,,,1957,Since,,,"Large Accelerated Filer",,,,,108.66,2025-10-02,"71,105,519,616",2025-09-30,"23,596,000,000","3,291,000,000","-7,319,000,000","37,939,000,000",,,,,,
"AUTOZONE INC",866787,AZO,NYSE,"S&P 500","Russell 1000","123 SOUTH FRONT ST","DEPT 8074",MEMPHIS,Shelby,TN,TENNESSEE,"US Southeast",38103,"(901) 495-6500",,,5531,"Auto and Home Supply Stores",441310,"Automotive Parts and Accessories Stores",34,574505,"Ernst & Young LLP",2,0042,,,,Memphis,TN,TENNESSEE,"US Southeast",2025-08-30,2025,08,2025-10-27,10-K,2025-10-27,No,,,1,"GAAP - US",Yes,No,,,,,,1988,Since,,,"Large Accelerated Filer",2025,"3,350,280","994,385","4,344,665",4197.09,2025-08-28,"70,211,919,872",2025-08-30,"18,938,717,000","2,498,247,000","-3,716,958,000","19,355,324,000",,,,,,
"Autodesk, Inc.",769397,ADSK,"NASDAQ Global Select Market","S&P 500","Russell 1000","ONE MARKET, STE. 400.",,"SAN FRANCISCO","San Francisco",CA,CALIFORNIA,"US West",94105,"(415) 507-5000",,,7372,"Prepackaged Software",511210,"Software Publishers",34,556015,"Ernst & Young LLP",2,0042,,,,"San Francisco",CA,CALIFORNIA,"US West",2025-01-31,2025,01,2025-03-06,10-K,2025-03-06,No,,,1,"GAAP - US",Yes,No,,,,,,1983,Since,,,"Large Accelerated Filer",2025,"10,100,000","500,000","10,600,000",304.17,2025-01-29,"65,396,551,680",2025-01-31,"6,131,000,000","1,112,000,000","-2,195,000,000","10,833,000,000",,,,,,
"NATIONAL GRID PLC",1004315,NGG,NYSE,,,"1-3 STRAND",,LONDON,,X0,"UNITED KINGDOM",Foreign,"WC2N 5EH","(44) 207 004 3220",,,4922,"Natural Gas Transmission",486210,"Pipeline Transportation of Natural Gas",34,565890,"Deloitte & Touche LLP",3,0034,"Deloitte LLP",293,1147,London,X0,"UNITED KINGDOM",Foreign,2025-03-31,2025,03,2025-05-14,20-F,2025-05-29,No,,,1,"IFRS - IASB",Yes,No,,,,,,2018,Since,,,"Large Accelerated Filer",2025,"23,862,581","1,276,074","25,138,654",65.61,2025-03-31,"64,260,059,136",2025-03-31,"23,722,000,000","3,750,000,000","31,891,000,000","137,778,000,000",,,,,,
"DIAGEO PLC",835403,DEO,NYSE,,,"16 GREAT MARLBOROUGH STREET",,LONDON,,X0,"UNITED KINGDOM",Foreign,"W1F 7HS","020 7947 9100",,,2080,Beverages,424820,"Wine and Distilled Alcoholic Beverage Merchant Wholesalers",34,570361,"PricewaterhouseCoopers LLP",1,0238,"PricewaterhouseCoopers LLP",121,876,London,X0,"UNITED KINGDOM",Foreign,2025-06-30,2025,06,2025-08-14,20-F,2025-08-14,No,,,1,"IFRS - IASB",Yes,No,,,,,,2015,Since,,,"Large Accelerated Filer",2025,"16,700,000","2,100,000","18,800,000",104.99,2025-07-02,"63,844,732,928",2025-06-30,"20,245,000,000","2,538,000,000","-3,686,000,000","49,322,000,000",,,,,,
"TE Connectivity plc",1385157,TEL,NYSE,"S&P 500",,"PARKMORE BUSINESS PARK WEST",PARKMORE,GALWAY,,L2,IRELAND,Foreign,H91VN2T,353-91378040,,,5065,"Electronic Parts and Equipment, NEC",517212,"Cellular and Other Wireless Telecommunications",34,575279,"Deloitte & Touche LLP",3,0034,,,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",2025-09-26,2025,09,2025-11-10,10-K,2025-11-10,No,,,1,"GAAP - US",Yes,No,,,,,,2007,Since,,,"Large Accelerated Filer",,,,,215.56,2025-09-24,"63,693,991,936",2025-09-26,"17,262,000,000","1,842,000,000","3,377,000,000","25,081,000,000",,,,,,
"TARGET CORP",27419,TGT,NYSE,"S&P 500","Russell 1000","1000 NICOLLET MALL",,MINNEAPOLIS,Hennepin,MN,MINNESOTA,"US Midwest",55403,"(612) 304-6073",,,5331,"Variety Stores",452112,"Discount Department Stores",34,557138,"Ernst & Young LLP",2,0042,,,,Minneapolis,MN,MINNESOTA,"US Midwest",2025-02-01,2025,1,2025-03-12,10-K,2025-03-12,No,,,1,"GAAP - US",Yes,No,,,,,,1931,Since,,,"Large Accelerated Filer",2025,"5,975,000","1,785,000","7,760,000",134.16,2025-02-03,"61,473,714,176",2025-02-01,"106,566,000,000","4,091,000,000",,"57,769,000,000",,,,,,
"Snowflake Inc.",1640147,SNOW,NYSE,,"Russell 1000","106 EAST BABCOCK STREET","SUITE 3A",BOZEMAN,Gallatin,MT,MONTANA,"US West",59715,"(844) 766-9355",,,7372,"Prepackaged Software",518210,"Data Processing, Hosting, and Related Services",34,558384,"PricewaterhouseCoopers LLP",1,0238,,,,"San Jose",CA,CALIFORNIA,"US West",2025-01-31,2025,01,2025-03-21,10-K,2025-03-21,No,,,1,"GAAP - US",Yes,No,,,,,,2019,Since,,,"Large Accelerated Filer",2025,"4,775,000","2,207,000","6,982,000",182.88,2025-01-29,"60,368,687,104",2025-01-31,"3,626,396,000","-1,285,640,000","1,665,342,000","9,033,938,000",,,,,,
"Air Products & Chemicals, Inc.",2969,APD,NYSE,"S&P 500","Russell 1000","1940 AIR PRODUCTS BLVD.",,ALLENTOWN,Lehigh,PA,PENNSYLVANIA,"US Mid Atlantic",18106-5500,"(610) 481-4911",,,2810,"Industrial Inorganic Chemicals",325120,"Industrial Gas Manufacturing",34,575849,"Deloitte & Touche LLP",3,0034,,,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",2025-09-30,2025,09,2025-11-20,10-K,2025-11-20,No,,,1,"GAAP - US",Yes,No,,,,,,2018,Since,,,"Large Accelerated Filer",,,,,270.6,2025-10-02,"60,223,016,960",2025-09-30,"12,147,400,000","-394,500,000","13,767,500,000","41,059,500,000",,,,,,
"Cencora, Inc.",1140859,COR,NYSE,"S&P 500","Russell 1000","1 WEST FIRST AVENUE",,CONSHOHOCKEN,Montgomery,PA,PENNSYLVANIA,"US Mid Atlantic",19428,"(610) 727-7000",,,5122,"Drugs, Drug Proprietaries, and Druggists` Sundries",424210,"Drugs and Druggists' Sundries Merchant Wholesalers",34,576034,"Ernst & Young LLP",2,0042,,,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",2025-09-30,2025,09,2025-11-25,10-K,2025-11-25,No,,,2,"GAAP - US",Yes,No,,,,,,1985,Since,,,"Large Accelerated Filer",,,,,308.57,2025-10-02,"59,824,898,048",2025-09-30,"321,332,819,000","1,554,169,000","-15,942,682,000","76,590,112,000",,,,,,
"Workday, Inc.",1327811,WDAY,"NASDAQ Global Select Market","S&P 500","Russell 1000","6110 STONERIDGE MALL ROAD",,PLEASANTON,Alameda,CA,CALIFORNIA,"US West",94588,"(925) 951-9000",,,7374,"Computer Processing and Data Preparation and Processing Services",518210,"Data Processing, Hosting, and Related Services",34,556924,"Ernst & Young LLP",2,0042,,,,"San Francisco",CA,CALIFORNIA,"US West",2025-01-31,2025,01,2025-03-11,10-K,2025-03-11,No,,,1,"GAAP - US",Yes,No,,,,,,2008,Since,,,"Large Accelerated Filer",2025,"9,862,243","2,358,889","12,221,132",265.4,2025-01-29,"56,795,598,848",2025-01-31,"8,446,000,000","526,000,000","5,195,000,000","17,977,000,000",,,,,,
